"DISPLAY_BRAND_NAME","Sum(EMAIL_UNIQUE_OPEN_COUNT)","Sum(EMAIL_SENT_COUNT)","Date"
"MAVYRET",1,1,2017-10-01
"HUMIRA",1,1,2019-04-01
"CREON",1,1,2018-03-01
"HUMIRA",2,7,2018-05-01
"MAVYRET",0,1,2019-02-01
"CREON",2,7,2018-01-01
"CREON",0,1,2018-03-01
"HUMIRA",0,5,2019-09-01
"HUMIRA",1,1,2017-10-01
"LUPRON DEPOT",0,1,2019-05-01
"MAVYRET",1,6,2019-02-01
"MAVYRET",0,2,2017-08-01
"MAVYRET",21,59,2018-03-01
"MAVYRET",1,3,2017-08-01
"Lupron Depot",0,1,2018-10-01
"CREON",5,13,2018-09-01
"HUMIRA",1,1,2019-09-01
"HUMIRA",3,6,2019-08-01
"MAVYRET",0,1,2019-01-01
"HUMIRA",1,1,2019-06-01
"HUMIRA",5,14,2018-09-01
"MAVYRET",1,2,2018-01-01
"CREON",0,1,2018-08-01
"MAVYRET",3,6,2017-10-01
"MAVYRET",22,71,2019-01-01
"HUMIRA",0,2,2017-05-01
"HUMIRA",2,4,2018-01-01
"MAVYRET",0,6,2018-12-01
"HUMIRA",1,3,2017-08-01
"MAVYRET",14,45,2019-02-01
"HUMIRA",0,2,2017-05-01
"HUMIRA",2,3,2018-02-01
"HUMIRA",4,22,2017-02-01
"CREON",0,1,2018-06-01
"HUMIRA",10,21,2019-01-01
"HUMIRA",0,2,2019-02-01
"MAVYRET",1,12,2018-02-01
"HUMIRA",0,1,2018-07-01
"MAVYRET",5,10,2018-03-01
"CREON",1,1,2016-10-01
"CREON",4,5,2017-10-01
"MAVYRET",1,3,2019-08-01
"CREON",1,7,2019-05-01
"MAVYRET",0,6,2019-01-01
"CREON",3,10,2018-03-01
"HUMIRA",0,1,2017-10-01
"HUMIRA",30,79,2017-10-01
"HUMIRA",0,1,2019-05-01
"HUMIRA",4,8,2019-02-01
"CREON",5,15,2018-03-01
"CREON",1,2,2019-04-01
"CREON",0,1,2018-09-01
"MAVYRET",1,1,2019-02-01
"HUMIRA",1,1,2018-10-01
"MAVYRET",1,4,2018-06-01
"HUMIRA",2,2,2017-07-01
"HUMIRA",0,2,2017-03-01
