"DISPLAY_BRAND_NAME","CUSTOMER_TYPE_DESCRIPTION","Count","Date"
"CREON","Nurse Practitioner",2,2017-01-01
"CREON","Physician",12,2017-01-01
"HUMIRA","Nurse Practitioner",14,2017-01-01
"HUMIRA","Physician",26,2017-01-01
"HUMIRA","Physician Assistant",11,2017-01-01
"CREON","Medical Assistant",2,2018-01-01
"CREON","Nurse",2,2018-01-01
"CREON","Nurse Practitioner",8,2018-01-01
"CREON","Other",1,2018-01-01
"CREON","Physician",23,2018-01-01
"CREON","Physician Assistant",8,2018-01-01
"CREON","Registered Dietician",2,2018-01-01
"HUMIRA","?",1,2018-01-01
"HUMIRA","Admin Asst",5,2018-01-01
"HUMIRA","Corporate Parent",2,2018-01-01
"HUMIRA","Group Practice",4,2018-01-01
"HUMIRA","Hospital",2,2018-01-01
"HUMIRA","Medical Assistant",12,2018-01-01
"HUMIRA","Nurse",9,2018-01-01
"HUMIRA","Nurse Practitioner",26,2018-01-01
"HUMIRA","Office Manager",4,2018-01-01
"HUMIRA","Other",4,2018-01-01
"HUMIRA","Pharmacist",4,2018-01-01
"HUMIRA","Physician",29,2018-01-01
"HUMIRA","Physician Assistant",25,2018-01-01
"HUMIRA","Residential",1,2018-01-01
"LUPRON DEPOT","Physician",1,2018-01-01
"MAVYRET","Medical Assistant",1,2018-01-01
"MAVYRET","Nurse",2,2018-01-01
"MAVYRET","Nurse Practitioner",19,2018-01-01
"MAVYRET","Physician",23,2018-01-01
"MAVYRET","Physician Assistant",14,2018-01-01
"CREON","Corporate Parent",1,2019-01-01
"CREON","Group Practice",2,2019-01-01
"CREON","Nurse",2,2019-01-01
"CREON","Nurse Practitioner",15,2019-01-01
"CREON","Office Manager",1,2019-01-01
"CREON","Other",2,2019-01-01
"CREON","Physician",22,2019-01-01
"CREON","Physician Assistant",11,2019-01-01
"CREON","Registered Dietician",1,2019-01-01
"CREON","Technician",1,2019-01-01
"ELAGOLIX","Physician",9,2019-01-01
"HUMIRA","Hospital",3,2019-01-01
"HUMIRA","Medical Assistant",3,2019-01-01
"HUMIRA","Nurse",3,2019-01-01
"HUMIRA","Nurse Practitioner",21,2019-01-01
"HUMIRA","Office Manager",1,2019-01-01
"HUMIRA","Other",1,2019-01-01
"HUMIRA","Pharmacist",3,2019-01-01
