"BRAND_NAME","MEDIA_TYPE_NAME","Sum","Date"
"HUMIRA","Added Value",307781083.857143,2018-09-01
"HUMIRA","Added Value",248921222.857144,2018-10-01
"HUMIRA","Added Value",195079952.285714,2018-11-01
"HUMIRA","Added Value",137771365.428571,2018-12-01
"HUMIRA","Added Value",61417708.0000004,2019-01-01
"ELAGOLIX","Audio",6935274,2018-09-01
"ELAGOLIX","Audio",7776618,2018-10-01
"ELAGOLIX","Audio",9345622,2018-11-01
"ELAGOLIX","Audio",12099086,2018-12-01
"ELAGOLIX","Audio",12099096,2019-01-01
"ELAGOLIX","Audio",12099096,2019-02-01
"ELAGOLIX","Audio",12099096,2019-03-01
"ELAGOLIX","Audio",12099096,2019-04-01
"ELAGOLIX","Audio",24198192,2019-05-01
"ELAGOLIX","Audio",12099096,2019-06-01
"ELAGOLIX","Audio",12099096,2019-07-01
"HUMIRA","Audio",1688414764.71429,2018-09-01
"HUMIRA","Audio",1757159580.71429,2018-10-01
"HUMIRA","Audio",1836355296.71429,2018-11-01
"HUMIRA","Audio",2000776658.71429,2018-12-01
"HUMIRA","Audio",2006042868.71429,2019-01-01
"HUMIRA","Audio",2006042850.42857,2019-02-01
"HUMIRA","Audio",1990861782.71429,2019-03-01
"HUMIRA","Audio",1974867981.28572,2019-04-01
"HUMIRA","Audio",3919335296.85715,2019-05-01
"HUMIRA","Audio",1931607954.14286,2019-06-01
"HUMIRA","Audio",1902186593.28571,2019-07-01
"CREON","Banner",713610353.285692,2018-09-01
"CREON","Banner",734123633.142835,2018-10-01
"CREON","Banner",778405114.142834,2018-11-01
"CREON","Banner",849455964.714263,2018-12-01
"CREON","Banner",845404779.142835,2019-01-01
"CREON","Banner",840771183.285692,2019-02-01
"CREON","Banner",821258721.857121,2019-03-01
"CREON","Banner",808157221.142851,2019-04-01
"CREON","Banner",1570417890.57138,2019-05-01
"CREON","Banner",760567298.428535,2019-06-01
"CREON","Banner",727570463.571391,2019-07-01
"ELAGOLIX","Banner",94465872.5714309,2018-09-01
"ELAGOLIX","Banner",107522218.571431,2018-10-01
"ELAGOLIX","Banner",123076444.571431,2018-11-01
"ELAGOLIX","Banner",156707966.571431,2018-12-01
"ELAGOLIX","Banner",157926470.571431,2019-01-01
"ELAGOLIX","Banner",157926470.571431,2019-02-01
"ELAGOLIX","Banner",157926470.571431,2019-03-01
"ELAGOLIX","Banner",157926470.571431,2019-04-01
"ELAGOLIX","Banner",315852941.142862,2019-05-01
"ELAGOLIX","Banner",157926470.571431,2019-06-01
"ELAGOLIX","Banner",157926470.571431,2019-07-01
"HUMIRA","Banner",11827110164.1428,2018-09-01
"HUMIRA","Banner",12358461783.8571,2018-10-01
"HUMIRA","Banner",13121484275.4285,2018-11-01
"HUMIRA","Banner",14387728195.7142,2018-12-01
"HUMIRA","Banner",14218401387.1428,2019-01-01
"HUMIRA","Banner",14042131858,2019-02-01
"HUMIRA","Banner",13874021196.5714,2019-03-01
"HUMIRA","Banner",13628737870.2857,2019-04-01
"HUMIRA","Banner",26633930394.8571,2019-05-01
"HUMIRA","Banner",13004388161.9999,2019-06-01
"HUMIRA","Banner",12645290908.5713,2019-07-01
"LUPRON DEPOT","Banner",97264502.8571421,2018-09-01
"LUPRON DEPOT","Banner",95320823.8571419,2018-10-01
"LUPRON DEPOT","Banner",93171600.1428561,2018-11-01
"LUPRON DEPOT","Banner",91403693.5714275,2018-12-01
"LUPRON DEPOT","Banner",88536875.7142847,2019-01-01
"LUPRON DEPOT","Banner",86299549.2857134,2019-02-01
"LUPRON DEPOT","Banner",85406902.9999991,2019-03-01
"LUPRON DEPOT","Banner",84081723.8571435,2019-04-01
"LUPRON DEPOT","Banner",165830000.285714,2019-05-01
"LUPRON DEPOT","Banner",82000914.7142834,2019-06-01
"LUPRON DEPOT","Banner",81560194.1428557,2019-07-01
"MAVYRET","Banner",459756136,2018-09-01
"MAVYRET","Banner",704459090,2018-10-01
