Brand,DAY_DATE,TOTAL_RX_COUNT
HUMIRA,1/1/2016,213242.2179
HUMIRA,1/1/2016,
HUMIRA,1/1/2016,
HUMIRA,1/1/2016,
HUMIRA,1/1/2016,
HUMIRA,1/1/2016,2543.835347
HUMIRA,1/1/2016,34403.219
HUMIRA,1/1/2016,15583.60915
HUMIRA,1/1/2016,51393.03278
HUMIRA,1/1/2016,6154.677938
HUMIRA,1/1/2016,32433.08117
HUMIRA,1/1/2016,9502.207639
HUMIRA,1/1/2016,24901.01136
HUMIRA,1/1/2016,69697.24073
HUMIRA,1/1/2016,66976.64193
HUMIRA,1/1/2016,41131.59445
HUMIRA,1/1/2016,105133.9816
HUMIRA,2/1/2016,228377.4281
HUMIRA,2/1/2016,
HUMIRA,2/1/2016,
HUMIRA,2/1/2016,
HUMIRA,2/1/2016,
HUMIRA,2/1/2016,3040.794184
HUMIRA,2/1/2016,36760.00481
HUMIRA,2/1/2016,16899.77682
HUMIRA,2/1/2016,55212.40811
HUMIRA,2/1/2016,6586.48197
HUMIRA,2/1/2016,34576.27942
HUMIRA,2/1/2016,10219.92629
HUMIRA,2/1/2016,26540.07852
HUMIRA,2/1/2016,74168.84344
HUMIRA,2/1/2016,72112.18493
HUMIRA,2/1/2016,44203.55558
HUMIRA,2/1/2016,112061.6876
HUMIRA,3/1/2016,250760.5446
HUMIRA,3/1/2016,
HUMIRA,3/1/2016,
HUMIRA,3/1/2016,
HUMIRA,3/1/2016,
HUMIRA,3/1/2016,3649.222774
HUMIRA,3/1/2016,40330.8849
HUMIRA,3/1/2016,18788.6431
HUMIRA,3/1/2016,60895.39082
HUMIRA,3/1/2016,7216.631381
HUMIRA,3/1/2016,37880.19518
HUMIRA,3/1/2016,11298.454
HUMIRA,3/1/2016,29032.4309
HUMIRA,3/1/2016,80780.5701
HUMIRA,3/1/2016,79684.03392
HUMIRA,3/1/2016,48746.04933
HUMIRA,3/1/2016,122330.4613
HUMIRA,4/1/2016,228824.7595
HUMIRA,4/1/2016,
HUMIRA,4/1/2016,
HUMIRA,4/1/2016,
HUMIRA,4/1/2016,
HUMIRA,4/1/2016,3565.8229
HUMIRA,4/1/2016,36886.13462
HUMIRA,4/1/2016,17247.4113
HUMIRA,4/1/2016,55607.74861
HUMIRA,4/1/2016,6543.446986
HUMIRA,4/1/2016,34707.80983
HUMIRA,4/1/2016,10401.1101
HUMIRA,4/1/2016,26485.02452
HUMIRA,4/1/2016,73133.00889
HUMIRA,4/1/2016,72855.15991
HUMIRA,4/1/2016,44817.07972
HUMIRA,4/1/2016,111152.5199
HUMIRA,5/1/2016,245303.5104
HUMIRA,5/1/2016,
HUMIRA,5/1/2016,
HUMIRA,5/1/2016,
HUMIRA,5/1/2016,
HUMIRA,5/1/2016,4038.341465
HUMIRA,5/1/2016,39705.23202
HUMIRA,5/1/2016,18589.91666
HUMIRA,5/1/2016,59619.64858
HUMIRA,5/1/2016,6979.626425
HUMIRA,5/1/2016,37007.98997
HUMIRA,5/1/2016,11279.13832
HUMIRA,5/1/2016,28426.0937
HUMIRA,5/1/2016,78138.67589
HUMIRA,5/1/2016,78209.56524
HUMIRA,5/1/2016,48025.95786
HUMIRA,5/1/2016,119067.9873
HUMIRA,6/1/2016,253568.6438
HUMIRA,6/1/2016,
HUMIRA,6/1/2016,
HUMIRA,6/1/2016,
HUMIRA,6/1/2016,
HUMIRA,6/1/2016,4345.92497
HUMIRA,6/1/2016,41137.09958
HUMIRA,6/1/2016,19281.60873
HUMIRA,6/1/2016,61491.5174
HUMIRA,6/1/2016,7181.095602
HUMIRA,6/1/2016,38342.40116
HUMIRA,6/1/2016,11783.09763
HUMIRA,6/1/2016,29354.00195
HUMIRA,6/1/2016,80486.1145
HUMIRA,6/1/2016,80773.12613
HUMIRA,6/1/2016,49869.42173
HUMIRA,6/1/2016,122926.0959
HUMIRA,7/1/2016,231744.0027
HUMIRA,7/1/2016,
HUMIRA,7/1/2016,
HUMIRA,7/1/2016,
HUMIRA,7/1/2016,
HUMIRA,7/1/2016,4071.300948
HUMIRA,7/1/2016,37656.67988
HUMIRA,7/1/2016,17738.22767
HUMIRA,7/1/2016,56053.8434
HUMIRA,7/1/2016,6553.109651
HUMIRA,7/1/2016,34759.87922
HUMIRA,7/1/2016,10899.83024
HUMIRA,7/1/2016,26756.84964
HUMIRA,7/1/2016,73713.88063
HUMIRA,7/1/2016,73792.07106
HUMIRA,7/1/2016,45384.28981
HUMIRA,7/1/2016,112567.6418
HUMIRA,8/1/2016,269830.1844
HUMIRA,8/1/2016,
HUMIRA,8/1/2016,
HUMIRA,8/1/2016,
HUMIRA,8/1/2016,
HUMIRA,8/1/2016,4923.159621
HUMIRA,8/1/2016,43663.60387
HUMIRA,8/1/2016,20794.74404
HUMIRA,8/1/2016,65083.43487
HUMIRA,8/1/2016,7606.153451
HUMIRA,8/1/2016,40487.62464
HUMIRA,8/1/2016,12753.23924
HUMIRA,8/1/2016,30910.36463
HUMIRA,8/1/2016,85852.35875
HUMIRA,8/1/2016,85878.17891
HUMIRA,8/1/2016,53016.93772
HUMIRA,8/1/2016,130935.0678
HUMIRA,9/1/2016,250105.1602
HUMIRA,9/1/2016,
HUMIRA,9/1/2016,
HUMIRA,9/1/2016,
HUMIRA,9/1/2016,
HUMIRA,9/1/2016,4864.70839
HUMIRA,9/1/2016,40269.17265
HUMIRA,9/1/2016,19359.85464
HUMIRA,9/1/2016,60022.60021
HUMIRA,9/1/2016,7014.190945
HUMIRA,9/1/2016,37399.24568
HUMIRA,9/1/2016,11878.54077
HUMIRA,9/1/2016,28390.63188
HUMIRA,9/1/2016,79795.80141
HUMIRA,9/1/2016,79382.45485
HUMIRA,9/1/2016,49278.14502
HUMIRA,9/1/2016,121444.5604
HUMIRA,10/1/2016,251489.282
HUMIRA,10/1/2016,
HUMIRA,10/1/2016,
HUMIRA,10/1/2016,
HUMIRA,10/1/2016,
HUMIRA,10/1/2016,5059.49416
HUMIRA,10/1/2016,40297.09275
HUMIRA,10/1/2016,19549.90256
HUMIRA,10/1/2016,60094.1858
HUMIRA,10/1/2016,7019.495212
HUMIRA,10/1/2016,37553.27434
HUMIRA,10/1/2016,11972.47014
HUMIRA,10/1/2016,28324.62261
HUMIRA,10/1/2016,80457.80159
HUMIRA,10/1/2016,79644.08836
HUMIRA,10/1/2016,49632.26371
HUMIRA,10/1/2016,122212.9299
HUMIRA,11/1/2016,257264.1964
HUMIRA,11/1/2016,
HUMIRA,11/1/2016,
HUMIRA,11/1/2016,
HUMIRA,11/1/2016,
HUMIRA,11/1/2016,5433.887581
HUMIRA,11/1/2016,41147.0315
HUMIRA,11/1/2016,20117.56389
HUMIRA,11/1/2016,61398.95983
HUMIRA,11/1/2016,7100.468194
HUMIRA,11/1/2016,38222.6801
HUMIRA,11/1/2016,12307.06373
HUMIRA,11/1/2016,28839.96777
HUMIRA,11/1/2016,82296.79141
HUMIRA,11/1/2016,81516.52372
HUMIRA,11/1/2016,50757.03587
HUMIRA,11/1/2016,124990.6368
HUMIRA,12/1/2016,256378.133
HUMIRA,12/1/2016,
HUMIRA,12/1/2016,
HUMIRA,12/1/2016,
HUMIRA,12/1/2016,
HUMIRA,12/1/2016,5448.511708
HUMIRA,12/1/2016,40996.41587
HUMIRA,12/1/2016,20245.07062
HUMIRA,12/1/2016,61257.61912
HUMIRA,12/1/2016,6981.447065
HUMIRA,12/1/2016,37863.71675
HUMIRA,12/1/2016,12328.48787
HUMIRA,12/1/2016,28667.928
HUMIRA,12/1/2016,81962.91904
HUMIRA,12/1/2016,81502.68973
HUMIRA,12/1/2016,50293.67553
HUMIRA,12/1/2016,124581.7678
HUMIRA,1/1/2017,
HUMIRA,1/1/2017,245740.171
HUMIRA,1/1/2017,
HUMIRA,1/1/2017,
HUMIRA,1/1/2017,
HUMIRA,1/1/2017,5260.683023
HUMIRA,1/1/2017,39338.79928
HUMIRA,1/1/2017,19651.80189
HUMIRA,1/1/2017,58717.28068
HUMIRA,1/1/2017,6571.950277
HUMIRA,1/1/2017,36549.57001
HUMIRA,1/1/2017,11868.97936
HUMIRA,1/1/2017,27469.81992
HUMIRA,1/1/2017,78107.08962
HUMIRA,1/1/2017,78369.08257
HUMIRA,1/1/2017,48382.20331
HUMIRA,1/1/2017,118988.8851
HUMIRA,2/1/2017,
HUMIRA,2/1/2017,234009.2022
HUMIRA,2/1/2017,
HUMIRA,2/1/2017,
HUMIRA,2/1/2017,
HUMIRA,2/1/2017,5043.800635
HUMIRA,2/1/2017,37456.738
HUMIRA,2/1/2017,18969.82054
HUMIRA,2/1/2017,55977.25516
HUMIRA,2/1/2017,6171.153449
HUMIRA,2/1/2017,35073.63007
HUMIRA,2/1/2017,11323.34551
HUMIRA,2/1/2017,26133.39249
HUMIRA,2/1/2017,73795.33529
HUMIRA,2/1/2017,74947.0757
HUMIRA,2/1/2017,46288.58415
HUMIRA,2/1/2017,112773.5424
HUMIRA,3/1/2017,
HUMIRA,3/1/2017,261800.8855
HUMIRA,3/1/2017,
HUMIRA,3/1/2017,
HUMIRA,3/1/2017,
HUMIRA,3/1/2017,5852.745515
HUMIRA,3/1/2017,41941.29681
HUMIRA,3/1/2017,21482.12144
HUMIRA,3/1/2017,62715.61348
HUMIRA,3/1/2017,6867.314776
HUMIRA,3/1/2017,39363.20783
HUMIRA,3/1/2017,12651.98711
HUMIRA,3/1/2017,29289.30971
HUMIRA,3/1/2017,81861.4489
HUMIRA,3/1/2017,84197.73493
HUMIRA,3/1/2017,52083.26812
HUMIRA,3/1/2017,125519.8824
HUMIRA,4/1/2017,
HUMIRA,4/1/2017,244101.3293
HUMIRA,4/1/2017,
HUMIRA,4/1/2017,
HUMIRA,4/1/2017,
HUMIRA,4/1/2017,5622.164916
HUMIRA,4/1/2017,39170.91443
HUMIRA,4/1/2017,20127.52567
HUMIRA,4/1/2017,58277.71196
HUMIRA,4/1/2017,6458.039451
HUMIRA,4/1/2017,36810.82732
HUMIRA,4/1/2017,11804.28029
HUMIRA,4/1/2017,27366.63414
HUMIRA,4/1/2017,75968.25879
HUMIRA,4/1/2017,78405.23763
HUMIRA,4/1/2017,48891.03169
HUMIRA,4/1/2017,116805.06
HUMIRA,5/1/2017,
HUMIRA,5/1/2017,279837.6002
HUMIRA,5/1/2017,
HUMIRA,5/1/2017,
HUMIRA,5/1/2017,
HUMIRA,5/1/2017,6786.633183
HUMIRA,5/1/2017,44886.50614
HUMIRA,5/1/2017,23074.08935
HUMIRA,5/1/2017,66325.54601
HUMIRA,5/1/2017,7482.394666
HUMIRA,5/1/2017,42535.55945
HUMIRA,5/1/2017,13503.29251
HUMIRA,5/1/2017,31383.21363
HUMIRA,5/1/2017,86752.6782
HUMIRA,5/1/2017,89399.63536
HUMIRA,5/1/2017,56804.5873
HUMIRA,5/1/2017,133633.3776
HUMIRA,6/1/2017,
HUMIRA,6/1/2017,272136.0607
HUMIRA,6/1/2017,
HUMIRA,6/1/2017,
HUMIRA,6/1/2017,
HUMIRA,6/1/2017,6511.645865
HUMIRA,6/1/2017,43707.10225
HUMIRA,6/1/2017,22496.97366
HUMIRA,6/1/2017,64185.23324
HUMIRA,6/1/2017,7360.912455
HUMIRA,6/1/2017,41752.64699
HUMIRA,6/1/2017,13147.11328
HUMIRA,6/1/2017,30559.98897
HUMIRA,6/1/2017,84096.97649
HUMIRA,6/1/2017,86682.2069
HUMIRA,6/1/2017,55625.20531
HUMIRA,6/1/2017,129828.6485
HUMIRA,7/1/2017,
HUMIRA,7/1/2017,262592.2712
HUMIRA,7/1/2017,
HUMIRA,7/1/2017,
HUMIRA,7/1/2017,
HUMIRA,7/1/2017,6340.911414
HUMIRA,7/1/2017,42391.44972
HUMIRA,7/1/2017,21829.9397
HUMIRA,7/1/2017,61573.52084
HUMIRA,7/1/2017,7125.166439
HUMIRA,7/1/2017,40201.19254
HUMIRA,7/1/2017,12745.08851
HUMIRA,7/1/2017,29646.36121
HUMIRA,7/1/2017,81148.35352
HUMIRA,7/1/2017,83403.46053
HUMIRA,7/1/2017,53667.2704
HUMIRA,7/1/2017,125521.5403
HUMIRA,8/1/2017,
HUMIRA,8/1/2017,290100.814
HUMIRA,8/1/2017,
HUMIRA,8/1/2017,
HUMIRA,8/1/2017,
HUMIRA,8/1/2017,7155.774342
HUMIRA,8/1/2017,46986.40055
HUMIRA,8/1/2017,24272.39699
HUMIRA,8/1/2017,67754.38978
HUMIRA,8/1/2017,7855.340191
HUMIRA,8/1/2017,44490.29135
HUMIRA,8/1/2017,14137.61939
HUMIRA,8/1/2017,32848.78115
HUMIRA,8/1/2017,89372.75442
HUMIRA,8/1/2017,92026.78677
HUMIRA,8/1/2017,59501.40589
HUMIRA,8/1/2017,138572.6213
HUMIRA,9/1/2017,
HUMIRA,9/1/2017,254681.0662
HUMIRA,9/1/2017,
HUMIRA,9/1/2017,
HUMIRA,9/1/2017,
HUMIRA,9/1/2017,6275.61264
HUMIRA,9/1/2017,41518.10165
HUMIRA,9/1/2017,21386.00401
HUMIRA,9/1/2017,59272.73629
HUMIRA,9/1/2017,6868.04001
HUMIRA,9/1/2017,38805.73672
HUMIRA,9/1/2017,12503.42121
HUMIRA,9/1/2017,29014.68044
HUMIRA,9/1/2017,78611.66156
HUMIRA,9/1/2017,80658.74031
HUMIRA,9/1/2017,51949.38937
HUMIRA,9/1/2017,122072.9365
HUMIRA,10/1/2017,
HUMIRA,10/1/2017,286567.4289
HUMIRA,10/1/2017,
HUMIRA,10/1/2017,
HUMIRA,10/1/2017,
HUMIRA,10/1/2017,7410.848877
HUMIRA,10/1/2017,46686.05143
HUMIRA,10/1/2017,24148.68113
HUMIRA,10/1/2017,66731.97157
HUMIRA,10/1/2017,7688.650115
HUMIRA,10/1/2017,43555.56592
HUMIRA,10/1/2017,14094.21673
HUMIRA,10/1/2017,32591.8347
HUMIRA,10/1/2017,87993.34858
HUMIRA,10/1/2017,90880.65269
HUMIRA,10/1/2017,58655.06491
HUMIRA,10/1/2017,137031.7113
HUMIRA,11/1/2017,
HUMIRA,11/1/2017,274522.045
HUMIRA,11/1/2017,
HUMIRA,11/1/2017,
HUMIRA,11/1/2017,
HUMIRA,11/1/2017,7182.582868
HUMIRA,11/1/2017,44746.85566
HUMIRA,11/1/2017,23344.34804
HUMIRA,11/1/2017,64155.69264
HUMIRA,11/1/2017,7324.022902
HUMIRA,11/1/2017,41479.49071
HUMIRA,11/1/2017,13561.58929
HUMIRA,11/1/2017,31185.26637
HUMIRA,11/1/2017,84034.98987
HUMIRA,11/1/2017,87500.04068
HUMIRA,11/1/2017,55986.09648
HUMIRA,11/1/2017,131035.9079
HUMIRA,12/1/2017,
HUMIRA,12/1/2017,264385.072
HUMIRA,12/1/2017,
HUMIRA,12/1/2017,
HUMIRA,12/1/2017,
HUMIRA,12/1/2017,6966.762993
HUMIRA,12/1/2017,43107.57027
HUMIRA,12/1/2017,22704.73791
HUMIRA,12/1/2017,62000.84344
HUMIRA,12/1/2017,7031.528541
HUMIRA,12/1/2017,39758.33063
HUMIRA,12/1/2017,13143.4151
HUMIRA,12/1/2017,29964.15517
HUMIRA,12/1/2017,80582.87814
HUMIRA,12/1/2017,84705.58135
HUMIRA,12/1/2017,53756.62217
HUMIRA,12/1/2017,125922.8685
HUMIRA,1/1/2018,
HUMIRA,1/1/2018,
HUMIRA,1/1/2018,278384.7879
HUMIRA,1/1/2018,
HUMIRA,1/1/2018,
HUMIRA,1/1/2018,7370.013097
HUMIRA,1/1/2018,45256.38232
HUMIRA,1/1/2018,24254.134
HUMIRA,1/1/2018,65740.71047
HUMIRA,1/1/2018,7351.303459
HUMIRA,1/1/2018,41833.24925
HUMIRA,1/1/2018,13898.02036
HUMIRA,1/1/2018,31358.36196
HUMIRA,1/1/2018,84212.21507
HUMIRA,1/1/2018,89994.84448
HUMIRA,1/1/2018,56554.5658
HUMIRA,1/1/2018,131835.3777
HUMIRA,2/1/2018,
HUMIRA,2/1/2018,
HUMIRA,2/1/2018,256337.9783
HUMIRA,2/1/2018,
HUMIRA,2/1/2018,
HUMIRA,2/1/2018,6902.425178
HUMIRA,2/1/2018,41461.58245
HUMIRA,2/1/2018,22620.06341
HUMIRA,2/1/2018,60935.18529
HUMIRA,2/1/2018,6711.38314
HUMIRA,2/1/2018,38643.22711
HUMIRA,2/1/2018,12824.53018
HUMIRA,2/1/2018,28637.05226
HUMIRA,2/1/2018,76926.18952
HUMIRA,2/1/2018,83555.2487
HUMIRA,2/1/2018,52257.03543
HUMIRA,2/1/2018,120525.6941
HUMIRA,3/1/2018,
HUMIRA,3/1/2018,
HUMIRA,3/1/2018,278966.5465
HUMIRA,3/1/2018,
HUMIRA,3/1/2018,
HUMIRA,3/1/2018,7736.810582
HUMIRA,3/1/2018,44944.65545
HUMIRA,3/1/2018,24846.27869
HUMIRA,3/1/2018,66555.99127
HUMIRA,3/1/2018,7242.919773
HUMIRA,3/1/2018,41987.84017
HUMIRA,3/1/2018,14014.25504
HUMIRA,3/1/2018,30930.40041
HUMIRA,3/1/2018,83238.76848
HUMIRA,3/1/2018,91402.26996
HUMIRA,3/1/2018,56967.57052
HUMIRA,3/1/2018,130596.706
HUMIRA,4/1/2018,
HUMIRA,4/1/2018,
HUMIRA,4/1/2018,287308.379
HUMIRA,4/1/2018,
HUMIRA,4/1/2018,
HUMIRA,4/1/2018,8167.283604
HUMIRA,4/1/2018,46242.55302
HUMIRA,4/1/2018,25746.3872
HUMIRA,4/1/2018,68452.5697
HUMIRA,4/1/2018,7403.150059
HUMIRA,4/1/2018,43133.34366
HUMIRA,4/1/2018,14519.40273
HUMIRA,4/1/2018,31723.15029
HUMIRA,4/1/2018,85684.01361
HUMIRA,4/1/2018,94198.9569
HUMIRA,4/1/2018,58703.77732
HUMIRA,4/1/2018,134405.6448
HUMIRA,5/1/2018,
HUMIRA,5/1/2018,
HUMIRA,5/1/2018,302742.8437
HUMIRA,5/1/2018,
HUMIRA,5/1/2018,
HUMIRA,5/1/2018,8934.843833
HUMIRA,5/1/2018,48730.88441
HUMIRA,5/1/2018,27131.63684
HUMIRA,5/1/2018,71868.65255
HUMIRA,5/1/2018,7792.633777
HUMIRA,5/1/2018,45389.83479
HUMIRA,5/1/2018,15395.52521
HUMIRA,5/1/2018,33335.35919
HUMIRA,5/1/2018,90194.61981
HUMIRA,5/1/2018,99000.28939
HUMIRA,5/1/2018,62117.3124
HUMIRA,5/1/2018,141625.2419
HUMIRA,6/1/2018,
HUMIRA,6/1/2018,
HUMIRA,6/1/2018,278598.3837
HUMIRA,6/1/2018,
HUMIRA,6/1/2018,
HUMIRA,6/1/2018,8371.624214
HUMIRA,6/1/2018,44885.62654
HUMIRA,6/1/2018,24998.22406
HUMIRA,6/1/2018,65963.00958
HUMIRA,6/1/2018,7183.420819
HUMIRA,6/1/2018,41767.32474
HUMIRA,6/1/2018,14222.38491
HUMIRA,6/1/2018,30663.24164
HUMIRA,6/1/2018,82940.96855
HUMIRA,6/1/2018,90961.23364
HUMIRA,6/1/2018,57322.36978
HUMIRA,6/1/2018,130314.7803
HUMIRA,7/1/2018,
HUMIRA,7/1/2018,
HUMIRA,7/1/2018,290868.914
HUMIRA,7/1/2018,
HUMIRA,7/1/2018,
HUMIRA,7/1/2018,8844.93135
HUMIRA,7/1/2018,47028.35388
HUMIRA,7/1/2018,26065.73802
HUMIRA,7/1/2018,68686.26133
HUMIRA,7/1/2018,7575.18233
HUMIRA,7/1/2018,43387.96629
HUMIRA,7/1/2018,14902.12164
HUMIRA,7/1/2018,32126.23224
HUMIRA,7/1/2018,86625.022
HUMIRA,7/1/2018,94751.99935
HUMIRA,7/1/2018,59808.07997
HUMIRA,7/1/2018,136308.8347
HUMIRA,8/1/2018,
HUMIRA,8/1/2018,
HUMIRA,8/1/2018,303289.1541
HUMIRA,8/1/2018,
HUMIRA,8/1/2018,
HUMIRA,8/1/2018,9480.097172
HUMIRA,8/1/2018,49091.1528
HUMIRA,8/1/2018,27285.0041
HUMIRA,8/1/2018,71495.24612
HUMIRA,8/1/2018,7934.084456
HUMIRA,8/1/2018,45102.22675
HUMIRA,8/1/2018,15548.15675
HUMIRA,8/1/2018,33542.99605
HUMIRA,8/1/2018,90080.76137
HUMIRA,8/1/2018,98780.25023
HUMIRA,8/1/2018,62516.40838
HUMIRA,8/1/2018,141992.4955
HUMIRA,9/1/2018,
HUMIRA,9/1/2018,
HUMIRA,9/1/2018,268113.7316
HUMIRA,9/1/2018,
HUMIRA,9/1/2018,
HUMIRA,9/1/2018,8457.453657
HUMIRA,9/1/2018,43517.86015
HUMIRA,9/1/2018,24246.9531
HUMIRA,9/1/2018,63160.85981
HUMIRA,9/1/2018,7052.771689
HUMIRA,9/1/2018,39743.75193
HUMIRA,9/1/2018,13799.51288
HUMIRA,9/1/2018,29718.34727
HUMIRA,9/1/2018,79400.06515
HUMIRA,9/1/2018,87407.81291
HUMIRA,9/1/2018,55253.97727
HUMIRA,9/1/2018,125451.9414
HUMIRA,10/1/2018,
HUMIRA,10/1/2018,
HUMIRA,10/1/2018,319563.2854
HUMIRA,10/1/2018,
HUMIRA,10/1/2018,
HUMIRA,10/1/2018,10392.96976
HUMIRA,10/1/2018,51877.50368
HUMIRA,10/1/2018,29065.19471
HUMIRA,10/1/2018,75123.10803
HUMIRA,10/1/2018,8393.404076
HUMIRA,10/1/2018,47322.10745
HUMIRA,10/1/2018,16511.77239
HUMIRA,10/1/2018,35365.73129
HUMIRA,10/1/2018,94388.95105
HUMIRA,10/1/2018,104188.3027
HUMIRA,10/1/2018,66108.48128
HUMIRA,10/1/2018,149266.5014
HUMIRA,11/1/2018,
HUMIRA,11/1/2018,
HUMIRA,11/1/2018,288272.2035
HUMIRA,11/1/2018,
HUMIRA,11/1/2018,
HUMIRA,11/1/2018,9526.321762
HUMIRA,11/1/2018,46857.95207
HUMIRA,11/1/2018,26353.16647
HUMIRA,11/1/2018,67624.36665
HUMIRA,11/1/2018,7560.431321
HUMIRA,11/1/2018,42372.92915
HUMIRA,11/1/2018,14970.27933
HUMIRA,11/1/2018,31887.67274
HUMIRA,11/1/2018,85240.62737
HUMIRA,11/1/2018,93977.53313
HUMIRA,11/1/2018,59459.68223
HUMIRA,11/1/2018,134834.9882
HUMIRA,12/1/2018,
HUMIRA,12/1/2018,
HUMIRA,12/1/2018,287263.4206
HUMIRA,12/1/2018,
HUMIRA,12/1/2018,
HUMIRA,12/1/2018,9596.668895
HUMIRA,12/1/2018,46691.5479
HUMIRA,12/1/2018,26349.17233
HUMIRA,12/1/2018,67177.69531
HUMIRA,12/1/2018,7506.881624
HUMIRA,12/1/2018,41873.35161
HUMIRA,12/1/2018,14955.00823
HUMIRA,12/1/2018,31736.53967
HUMIRA,12/1/2018,85326.59183
HUMIRA,12/1/2018,93526.86765
HUMIRA,12/1/2018,58976.90213
HUMIRA,12/1/2018,134759.6508
HUMIRA,1/1/2019,100593.8172
HUMIRA,1/1/2019,145298.9629
HUMIRA,1/1/2019,60381.0285
HUMIRA,1/1/2019,310330.6864
HUMIRA,1/1/2019,306273.8086
HUMIRA,1/1/2019,10447.63086
HUMIRA,1/1/2019,50279.90106
HUMIRA,1/1/2019,28601.71956
HUMIRA,1/1/2019,72755.06532
HUMIRA,1/1/2019,8049.133762
HUMIRA,1/1/2019,45274.49004
HUMIRA,1/1/2019,16123.46906
HUMIRA,1/1/2019,34156.432
HUMIRA,1/1/2019,91972.29635
HUMIRA,1/1/2019,101356.7849
HUMIRA,1/1/2019,63771.25466
HUMIRA,1/1/2019,145202.6469
HUMIRA,2/1/2019,90212.00033
HUMIRA,2/1/2019,132848.462
HUMIRA,2/1/2019,55001.5785
HUMIRA,2/1/2019,283021.6798
HUMIRA,2/1/2019,278062.0408
HUMIRA,2/1/2019,9676.801212
HUMIRA,2/1/2019,45661.54726
HUMIRA,2/1/2019,26173.14666
HUMIRA,2/1/2019,66403.66444
HUMIRA,2/1/2019,7293.017661
HUMIRA,2/1/2019,41515.32695
HUMIRA,2/1/2019,14633.24748
HUMIRA,2/1/2019,31028.29978
HUMIRA,2/1/2019,83565.48548
HUMIRA,2/1/2019,92576.81111
HUMIRA,2/1/2019,58485.14583
HUMIRA,2/1/2019,131959.7229
HUMIRA,3/1/2019,94648.03539
HUMIRA,3/1/2019,137908.9515
HUMIRA,3/1/2019,57392.764
HUMIRA,3/1/2019,294571.5818
HUMIRA,3/1/2019,289949.7509
HUMIRA,3/1/2019,10363.87323
HUMIRA,3/1/2019,47579.02332
HUMIRA,3/1/2019,27268.71678
HUMIRA,3/1/2019,69214.65208
HUMIRA,3/1/2019,7582.708461
HUMIRA,3/1/2019,42923.63913
HUMIRA,3/1/2019,15221.79165
HUMIRA,3/1/2019,32357.23167
HUMIRA,3/1/2019,86669.32046
HUMIRA,3/1/2019,96483.36886
HUMIRA,3/1/2019,60870.22082
HUMIRA,3/1/2019,137217.9921
HUMIRA,4/1/2019,104847.504
HUMIRA,4/1/2019,152636.9027
HUMIRA,4/1/2019,62757.596
HUMIRA,4/1/2019,322264.6796
HUMIRA,4/1/2019,320242.0027
HUMIRA,4/1/2019,11595.94636
HUMIRA,4/1/2019,52281.40242
HUMIRA,4/1/2019,29721.70086
HUMIRA,4/1/2019,75451.93184
HUMIRA,4/1/2019,8300.823333
HUMIRA,4/1/2019,46753.61939
HUMIRA,4/1/2019,16689.2059
HUMIRA,4/1/2019,35592.19652
HUMIRA,4/1/2019,94907.32028
HUMIRA,4/1/2019,105173.6327
HUMIRA,4/1/2019,66650.38909
HUMIRA,4/1/2019,150440.6578
HUMIRA,5/1/2019,103866.2324
