"Brand","total","Date"
"CREON",75409,2014-01-01
"CREON",81503,2015-01-01
"LUPRON DEPOT",198,2015-01-01
"CREON",88422,2016-01-01
"HUMIRA",673096.350994,2016-01-01
"LUPRON DEPOT",359,2016-01-01
"CREON",93187,2017-01-01
"HUMIRA",775016.31604,2017-01-01
"LUPRON DEPOT",622,2017-01-01
"MAVYRET",3,2017-01-01
"CREON",97450,2018-01-01
"HUMIRA",878043.965866,2018-01-01
"MAVYRET",4636,2018-01-01
"CREON",103548,2019-01-01
"HUMIRA",1590869.128072,2019-01-01
"CREON",68291,2014-02-01
"CREON",74749,2015-02-01
"LUPRON DEPOT",202,2015-02-01
"CREON",88482,2016-02-01
"HUMIRA",720759.449774,2016-02-01
"LUPRON DEPOT",331,2016-02-01
"CREON",85028,2017-02-01
"HUMIRA",737962.875594,2017-02-01
"LUPRON DEPOT",694,2017-02-01
"MAVYRET",3,2017-02-01
"CREON",87635,2018-02-01
"HUMIRA",808337.595068,2018-02-01
"MAVYRET",5723,2018-02-01
"CREON",92029,2019-02-01
"HUMIRA",1448117.978193,2019-02-01
"CREON",75925,2014-03-01
"CREON",85871,2015-03-01
"LUPRON DEPOT",214,2015-03-01
"CREON",95441,2016-03-01
"HUMIRA",791393.512305,2016-03-01
"LUPRON DEPOT",371,2016-03-01
"CREON",98065,2017-03-01
"HUMIRA",825626.816521,2017-03-01
"LUPRON DEPOT",865,2017-03-01
"MAVYRET",5,2017-03-01
"CREON",98799,2018-03-01
"HUMIRA",879431.012845,2018-03-01
"MAVYRET",5799,2018-03-01
"CREON",101705,2019-03-01
"HUMIRA",1508223.622151,2019-03-01
"CREON",76629,2014-04-01
"CREON",83820,2015-04-01
"LUPRON DEPOT",253,2015-04-01
"CREON",89944,2016-04-01
"HUMIRA",722227.036786,2016-04-01
"LUPRON DEPOT",514,2016-04-01
"CREON",89593,2017-04-01
"HUMIRA",769809.015587,2017-04-01
"LUPRON DEPOT",289,2017-04-01
"MAVYRET",10,2017-04-01
"CREON",96706,2018-04-01
"HUMIRA",905688.611893,2018-04-01
