"","BRAND_NAME","ESTIMATE_SPEND_AMT","DATE","GEOGRAPHY"
"1","HUMIRA",NA,2019-07-01,"Eugene"
"2","HUMIRA",1.3873789,2018-09-01,"Joplin-Pittsburg"
"3","HUMIRA",NA,2019-07-01,"Amarillo"
"4","HUMIRA",1121128.7635072,2019-03-01,"Washington, DC (Hagrstwn)"
"5","HUMIRA",NA,2019-07-01,"Ft. Wayne"
"6","HUMIRA",7.5057692,2018-09-01,"San Antonio"
"7","HUMIRA",879.811991,2019-05-01,"Rochester, NY"
"8","HUMIRA",275654.2590789,2019-06-01,"Greensboro-H.Point-W.Salem"
"9","HUMIRA",20.7249672,2018-09-01,"Parkersburg"
"10","HUMIRA",289.1341403,2018-12-01,"Portland, OR"
"11","HUMIRA",282710.2525707,2019-04-01,"New Orleans"
"12","HUMIRA",63536.3410322,2018-09-01,"Tampa-St. Pete (Sarasota)"
"13","HUMIRA",NA,2018-12-01,"CHARLESTON SC"
"14","HUMIRA",55773.555749,2019-01-01,"Raleigh-Durham (Fayetvlle)"
"15","HUMIRA",10546.2304287,2019-03-01,"Sioux Falls(Mitchell)"
"16","HUMIRA",261841.5570986,2019-04-01,"SantaBarbra-SanMar-SanLuOb"
"17","HUMIRA",0.7283394,2018-11-01,"Alpena"
"18","HUMIRA",NA,2019-07-01,"Laredo"
"19","HUMIRA",449.7587662,2019-02-01,"Augusta-Aiken"
"20","HUMIRA",145122.0128147,2019-04-01,"Johnstown-Altoona-St Colge"
"21","HUMIRA",149034.4853462,2018-09-01,"Tampa-St. Pete (Sarasota)"
"22","HUMIRA",25291.6775413,2018-12-01,"Rochester, NY"
"23","HUMIRA",36302.7733132,2019-06-01,"Greensboro-H.Point-W.Salem"
"24","HUMIRA",1.6537842,2019-02-01,"Oklahoma City"
"25","HUMIRA",NA,2019-07-01,"Charlottesville"
"26","HUMIRA",14330.8255778,2018-10-01,"Johnstown-Altoona-St Colge"
"27","HUMIRA",4923.8538216,2018-12-01,"Parkersburg"
"28","HUMIRA",NA,2018-11-01,"EUREKA CA"
"29","HUMIRA",95438.8277503,2019-03-01,"Cleveland-Akron (Canton)"
"30","HUMIRA",4.3508226,2019-04-01,"New Orleans"
"31","HUMIRA",4383.9023627,2019-06-01,"San Angelo"
"32","HUMIRA",350.3718105,2018-10-01,"Cedar Rapids-Wtrlo-IWC&Dub"
"33","HUMIRA",2938.9110508,2018-11-01,"Zanesville"
"34","HUMIRA",26668.8977311,2019-01-01,"Topeka"
"35","HUMIRA",8944.517123,2018-12-01,"Minot-Bsmrck-Dcknsn(Wlstn)"
"36","HUMIRA",NA,2019-07-01,"Milwaukee"
