"","Date","Total"
"1",2016-07-01,9654.126
"2",2016-08-01,23211.699
"3",2016-09-01,19632.828
"4",2016-10-01,20928.81
"5",2016-11-01,18227.877
"6",2016-12-01,12002.559
"7",2017-01-01,15087.627
"8",2017-02-01,18047.19
"9",2017-03-01,18640.44
"10",2017-04-01,18516.621
"11",2017-05-01,19413.645
"12",2017-06-01,18495.096
"13",2017-07-01,17352.225
"14",2017-08-01,19571.832
"15",2017-09-01,14824.329
"16",2017-10-01,17901.243
"17",2017-11-01,15938.799
"18",2017-12-01,15435.048
"19",2018-01-01,21371.175
"20",2018-02-01,21917.892
"21",2018-03-01,24489.681
"22",2018-04-01,79350.699
"23",2018-05-01,93412.086
"24",2018-06-01,84372.378
"25",2018-07-01,104682.243
"26",2018-08-01,89936971.25962
"27",2018-09-01,511076795.104937
"28",2018-10-01,529743661.205051
"29",2018-11-01,549164212.901071
"30",2018-12-01,576591052.556273
"31",2019-01-01,579607327.185213
"32",2019-02-01,585730621.972988
"33",2019-03-01,601969354.787596
"34",2019-04-01,620081270.020846
"35",2019-05-01,1114647056.94164
"36",2019-06-01,646035652.392514
"37",2019-07-01,480863890.13842
"38",2019-08-01,92186.8672
"39",2019-09-01,204.549
"40",NA,NA
"41",2016-07-01,158742
"42",2016-08-01,381533
"43",2016-09-01,322626
"44",2016-10-01,343964
"45",2016-11-01,299507
"46",2016-12-01,197299
"47",2017-01-01,247807
"48",2017-02-01,296172
"49",2017-03-01,304712
"50",2017-04-01,303053
"51",2017-05-01,318265
"52",2017-06-01,303500
"53",2017-07-01,284757
"54",2017-08-01,320522
"55",2017-09-01,242435
"56",2017-10-01,292103
"57",2017-11-01,260583
"58",2017-12-01,252892
"59",2018-01-01,349563
"60",2018-02-01,358908
"61",2018-03-01,400889
"62",2018-04-01,1303325
"63",2018-05-01,1534384
"64",2018-06-01,1385856
"65",2018-07-01,1720707
"66",2018-08-01,405688597.428503
"67",2018-09-01,27656833442.9999
"68",2018-10-01,28820543596.857
"69",2018-11-01,30191587521.4284
"70",2018-12-01,32326681873.7141
"71",2019-01-01,31878678113.4284
"72",2019-02-01,31527375832.7142
"73",2019-03-01,32221669094.4284
"74",2019-04-01,32661554027.4285
"75",2019-05-01,65222357638.4284
"76",2019-06-01,33274213148.857
"77",2019-07-01,32735576208.5713
"78",2019-08-01,1514660
"79",2019-09-01,1663
"80",NA,NA
