"Date","Total Investment","Total Activity count"
2016-07-01,9654.126,158742
2016-08-01,23211.699,381533
2016-09-01,19632.828,322626
2016-10-01,20928.81,343964
2016-11-01,18227.877,299507
2016-12-01,12002.559,197299
2017-01-01,15087.627,247807
2017-02-01,18047.19,296172
2017-03-01,18640.44,304712
2017-04-01,18516.621,303053
2017-05-01,19413.645,318265
2017-06-01,18495.096,303500
2017-07-01,17352.225,284757
2017-08-01,19571.832,320522
2017-09-01,14824.329,242435
2017-10-01,17901.243,292103
2017-11-01,15938.799,260583
2017-12-01,15435.048,252892
2018-01-01,21371.175,349563
2018-02-01,21917.892,358908
2018-03-01,24489.681,400889
2018-04-01,79350.699,1303325
2018-05-01,93412.086,1534384
2018-06-01,84372.378,1385856
2018-07-01,104682.243,1720707
2018-08-01,89936971.25962,405688597.428503
2018-09-01,511076795.104937,27656833442.9999
2018-10-01,529743661.205051,28820543596.857
2018-11-01,549164212.901071,30191587521.4284
2018-12-01,576591052.556273,32326681873.7141
2019-01-01,579607327.185213,31878678113.4284
2019-02-01,585730621.972988,31527375832.7142
2019-03-01,601969354.787596,32221669094.4284
2019-04-01,620081270.020846,32661554027.4285
2019-05-01,1114647056.94164,65222357638.4284
2019-06-01,646035652.392514,33274213148.857
2019-07-01,480863890.13842,32735576208.5713
2019-08-01,92186.8672,1514660
2019-09-01,204.549,1663
NA,NA,NA
